incident_id,road_id,road_name,latitude,longitude,incident_type,severity,start_time,duration_min,delay_added_min,lanes_affected,is_cleared
INC_0000,RD_077,Road Segment 77,13.079683,80.189489,breakdown,critical,2024-04-04 23:00,32,47,1,False
INC_0001,RD_059,Road Segment 59,12.874856,80.169786,breakdown,critical,2024-10-12 12:00,131,55,2,True
INC_0002,RD_027,Road Segment 27,12.878214,80.130198,accident,critical,2024-09-07 23:00,200,53,4,True
INC_0003,RD_065,Road Segment 65,13.008808,80.226803,road_block,minor,2024-08-21 10:00,221,9,3,True
INC_0004,RD_070,Road Segment 70,13.000329,80.386469,flood,major,2024-10-02 06:00,195,29,1,False
INC_0005,RD_050,Road Segment 50,13.017873,80.138474,construction,critical,2024-08-06 02:00,198,51,3,True
INC_0006,RD_054,Road Segment 54,12.997076,80.166577,protest,major,2024-04-02 15:00,117,23,3,True
INC_0007,RD_018,LB Road Adyar,12.995499,80.257572,breakdown,minor,2024-12-22 10:00,105,12,1,False
INC_0008,RD_048,Road Segment 48,13.158316,80.192203,accident,minor,2024-07-06 00:00,106,9,2,False
INC_0009,RD_044,Road Segment 44,13.189159,80.360652,road_block,major,2024-09-24 23:00,53,23,6,True
INC_0010,RD_006,Rajiv Gandhi Salai (IT Corridor),12.955922,80.237491,flood,critical,2024-09-21 09:00,32,48,3,True
INC_0011,RD_078,Road Segment 78,13.010939,80.401414,vip_movement,minor,2024-04-24 06:00,228,14,2,False
INC_0012,RD_064,Road Segment 64,13.129068,80.130837,breakdown,critical,2024-01-22 21:00,103,51,1,True
INC_0013,RD_018,LB Road Adyar,13.002171,80.254102,construction,critical,2024-02-07 15:00,151,46,2,True
INC_0014,RD_039,Road Segment 39,12.894009,80.322937,breakdown,major,2024-12-28 13:00,240,24,3,False
INC_0015,RD_030,Road Segment 30,13.096588,80.116059,vip_movement,major,2024-07-13 11:00,48,25,1,True
INC_0016,RD_055,Road Segment 55,12.982603,80.302377,construction,minor,2024-11-17 23:00,194,8,3,True
INC_0017,RD_006,Rajiv Gandhi Salai (IT Corridor),12.957314,80.239008,construction,critical,2024-03-11 23:00,213,52,4,True
INC_0018,RD_021,Road Segment 21,13.073542,80.10463,construction,minor,2024-07-16 07:00,108,8,2,True
INC_0019,RD_062,Road Segment 62,12.968381,80.225398,vip_movement,minor,2024-03-31 22:00,82,14,1,False
INC_0020,RD_024,Road Segment 24,12.858636,80.15771,accident,minor,2024-12-17 02:00,19,9,1,False
INC_0021,RD_012,Sardar Patel Road,12.999519,80.21504,construction,minor,2024-10-06 15:00,184,7,1,True
INC_0022,RD_030,Road Segment 30,13.094996,80.11275,road_block,minor,2024-10-13 16:00,134,12,4,True
INC_0023,RD_005,NH-16 (Chennai-Kolkata Highway),13.152866,80.278954,road_block,minor,2024-07-15 03:00,32,13,4,True
INC_0024,RD_027,Road Segment 27,12.881348,80.130844,flood,critical,2024-07-28 19:00,180,47,1,True
INC_0025,RD_078,Road Segment 78,13.013359,80.401966,construction,major,2024-09-29 14:00,31,18,2,False
INC_0026,RD_033,Road Segment 33,13.080878,80.309172,breakdown,major,2024-07-16 11:00,110,22,6,True
INC_0027,RD_066,Road Segment 66,13.153993,80.123451,flood,critical,2024-05-13 05:00,117,42,1,True
INC_0028,RD_015,Arcot Road,13.052071,80.209349,vip_movement,major,2024-01-21 04:00,105,30,3,True
INC_0029,RD_036,Road Segment 36,13.145035,80.329256,construction,minor,2024-07-24 15:00,148,8,1,False
INC_0030,RD_055,Road Segment 55,12.989874,80.295278,flood,critical,2024-01-26 01:00,26,52,2,False
INC_0031,RD_008,Grand Southern Trunk Road,12.978705,80.10817,breakdown,major,2024-01-11 02:00,240,27,3,True
INC_0032,RD_016,Patel Road T Nagar,13.039426,80.233628,breakdown,major,2024-08-30 08:00,80,22,4,False
INC_0033,RD_018,LB Road Adyar,13.001304,80.254381,road_block,major,2024-01-19 11:00,170,20,1,True
INC_0034,RD_069,Road Segment 69,12.9832,80.395291,flood,minor,2024-03-24 11:00,158,4,2,False
INC_0035,RD_025,Road Segment 25,13.05559,80.338647,vip_movement,minor,2024-12-15 01:00,138,8,1,True
INC_0036,RD_052,Road Segment 52,13.025376,80.124281,protest,major,2024-12-12 17:00,102,24,2,True
INC_0037,RD_068,Road Segment 68,12.990166,80.242543,vip_movement,minor,2024-01-23 03:00,66,5,2,True
INC_0038,RD_039,Road Segment 39,12.902519,80.322683,flood,minor,2024-12-07 14:00,108,6,4,False
INC_0039,RD_033,Road Segment 33,13.086157,80.310792,vip_movement,minor,2024-01-18 03:00,235,11,2,False
INC_0040,RD_034,Road Segment 34,12.907801,80.319916,accident,minor,2024-04-16 10:00,116,7,2,True
INC_0041,RD_006,Rajiv Gandhi Salai (IT Corridor),12.962673,80.239125,vip_movement,minor,2024-07-09 03:00,199,4,2,True
INC_0042,RD_060,Road Segment 60,12.897713,80.376876,protest,minor,2024-11-30 09:00,216,4,2,True
