poi_id,name,category,latitude,longitude,rating,open_now,open_hours,road_name
POI_0000,Fortis Malar,hospital,12.982391,80.400237,3.1,False,6AM-10PM,Road Segment 69
POI_0001,Stanley Medical,hospital,13.019055,80.160695,2.9,True,9AM-8PM,Road Segment 56
POI_0002,SRM Hospital,hospital,13.106925,80.300643,4.7,True,8AM-9PM,Road Segment 33
POI_0003,Vijaya Hospital,hospital,12.962288,80.178031,2.8,True,24/7,GST Road
POI_0004,Fortis Malar,hospital,13.055569,80.131314,3.5,True,8AM-9PM,Poonamallee High Road
POI_0005,Stanley Medical,hospital,12.849391,80.255069,4.0,False,24/7,ECR (East Coast Road)
POI_0006,Apollo Hospital,hospital,13.099748,80.121064,3.6,True,6AM-10PM,Road Segment 58
POI_0007,Stanley Medical,hospital,13.02765,80.178463,3.1,True,9AM-8PM,Road Segment 56
POI_0008,Stanley Medical,hospital,12.905113,80.236915,2.8,True,9AM-8PM,OMR (Old Mahabalipuram Road)
POI_0009,SRM Hospital,hospital,13.04136,80.167046,4.0,True,8AM-9PM,Road Segment 57
POI_0010,Govt General Hospital,hospital,13.08483,80.114151,4.1,False,6AM-10PM,Road Segment 21
POI_0011,Vijaya Hospital,hospital,13.012011,80.263055,5.0,False,8AM-9PM,Road Segment 53
POI_0012,Stanley Medical,hospital,13.204827,80.335884,3.7,True,9AM-8PM,Road Segment 67
POI_0013,Fortis Malar,hospital,13.190806,80.345739,4.2,True,6AM-10PM,Road Segment 67
POI_0014,Fortis Malar,hospital,13.098775,80.113613,3.6,True,8AM-9PM,Road Segment 30
POI_0015,Govt General Hospital,hospital,13.136492,80.27401,3.6,True,6AM-10PM,NH-16 (Chennai-Kolkata Highway)
POI_0016,Sri Ramachandra,hospital,13.00305,80.175285,3.7,False,8AM-9PM,Road Segment 56
POI_0017,Apollo Hospital,hospital,12.981486,80.113472,3.1,True,24/7,Grand Southern Trunk Road
POI_0018,SRM Hospital,hospital,12.919789,80.324875,3.2,True,8AM-9PM,Road Segment 34
