hazard_id,road_id,road_name,latitude,longitude,hazard_type,severity,depth_cm,area_sqm,confidence_score,reported_at,repair_cost_inr,is_repaired
HZ_0000,RD_036,Road Segment 36,13.135404,80.332414,debris,low,,1.48,0.63,2024-04-03 15:00,8,0
HZ_0001,RD_063,Road Segment 63,13.194622,80.125069,pothole,low,10.9,2.73,0.99,2024-11-02 04:00,134,0
HZ_0002,RD_019,100 Feet Road Vadapalani,13.046336,80.201033,pothole,low,6.0,3.6,0.63,2024-03-11 13:00,115,1
HZ_0003,RD_076,Road Segment 76,13.082031,80.212357,pothole,low,8.7,2.09,0.63,2024-09-26 03:00,139,0
HZ_0004,RD_041,Road Segment 41,13.033248,80.129834,debris,low,,2.06,0.97,2024-06-20 17:00,26,0
HZ_0005,RD_046,Road Segment 46,12.891197,80.229233,speed_breaker,high,,2.57,0.65,2024-05-31 08:00,203,1
HZ_0006,RD_064,Road Segment 64,13.13481,80.140371,waterlogging,low,,3.0,0.79,2024-05-31 20:00,72,0
HZ_0007,RD_010,Outer Ring Road,13.004771,80.149403,pothole,low,9.6,3.65,0.91,2024-09-08 05:00,148,0
HZ_0008,RD_070,Road Segment 70,13.004916,80.389459,pothole,low,23.3,1.07,0.67,2024-03-06 05:00,116,0
HZ_0009,RD_064,Road Segment 64,13.121224,80.142896,pothole,high,2.2,3.48,0.86,2024-05-26 22:00,402,0
HZ_0010,RD_031,Road Segment 31,13.1377,80.356157,speed_breaker,medium,,3.01,0.62,2024-09-06 12:00,130,0
HZ_0011,RD_064,Road Segment 64,13.140548,80.127721,pothole,low,1.1,2.13,0.85,2024-11-03 02:00,123,0
HZ_0012,RD_016,Patel Road T Nagar,13.034544,80.235755,pothole,low,3.8,2.66,0.93,2024-11-05 14:00,116,0
HZ_0013,RD_044,Road Segment 44,13.18512,80.357894,oil_spill,low,,1.05,0.87,2024-09-09 11:00,71,0
HZ_0014,RD_014,Nungambakkam High Road,13.051573,80.238272,waterlogging,low,,0.17,0.86,2024-07-04 01:00,78,0
HZ_0015,RD_010,Outer Ring Road,13.003103,80.151027,waterlogging,low,,0.35,0.87,2024-04-18 16:00,126,0
HZ_0016,RD_016,Patel Road T Nagar,13.038543,80.225833,speed_breaker,low,,2.35,0.78,2024-03-20 00:00,70,0
HZ_0017,RD_052,Road Segment 52,13.023332,80.112248,pothole,low,6.0,3.84,0.77,2024-09-19 03:00,85,0
HZ_0018,RD_032,Road Segment 32,13.074922,80.206651,pothole,high,8.3,1.76,0.97,2024-11-12 05:00,426,1
