road_id,road_name,lat,lon,speed_limit,lanes,road_type
RD_001,Anna Salai (Mount Road),13.069,80.2553,60,6,arterial
RD_002,GST Road,12.97,80.19,80,6,highway
RD_003,OMR (Old Mahabalipuram Road),12.92,80.23,60,4,arterial
RD_004,ECR (East Coast Road),12.85,80.25,80,4,highway
RD_005,NH-16 (Chennai-Kolkata Highway),13.15,80.28,100,6,highway
RD_006,Rajiv Gandhi Salai (IT Corridor),12.96,80.24,60,4,arterial
RD_007,Poonamallee High Road,13.05,80.15,60,4,arterial
RD_008,Grand Southern Trunk Road,12.98,80.11,60,4,arterial
RD_009,Inner Ring Road,13.02,80.21,60,6,ring
RD_010,Outer Ring Road,13.0,80.15,80,6,ring
RD_011,Velachery Main Road,12.98,80.22,50,4,arterial
RD_012,Sardar Patel Road,13.0067,80.2206,60,4,arterial
RD_013,Cathedral Road,13.06,80.25,50,4,local
RD_014,Nungambakkam High Road,13.058,80.242,50,4,local
RD_015,Arcot Road,13.05,80.21,50,4,local
RD_016,Patel Road T Nagar,13.04,80.234,40,4,local
RD_017,Usman Road T Nagar,13.0418,80.238,40,4,local
RD_018,LB Road Adyar,13.0,80.256,50,4,local
RD_019,100 Feet Road Vadapalani,13.052,80.205,60,4,arterial
RD_020,Kamarajar Salai Marina,13.06,80.283,60,6,arterial
RD_021,Road Segment 21,13.073799379460258,80.10750322656679,60,2,local
RD_022,Road Segment 22,12.8988382749838,80.13074855285144,40,6,arterial
RD_023,Road Segment 23,12.861123937818624,80.12810857195848,50,6,highway
RD_024,Road Segment 24,12.859287589389352,80.15965129520599,80,2,arterial
RD_025,Road Segment 25,13.056242989356567,80.34282913700335,40,2,highway
RD_026,Road Segment 26,12.997915039353726,80.18336140250149,50,4,local
RD_027,Road Segment 27,12.882461045183051,80.12901491305003,60,6,arterial
RD_028,Road Segment 28,13.132494895646033,80.31891953600814,40,4,local
RD_029,Road Segment 29,13.043214220945629,80.34882139927589,60,6,local
RD_030,Road Segment 30,13.096600142675223,80.11374731509669,50,4,local
RD_031,Road Segment 31,13.149361202355301,80.35994510002658,80,4,arterial
RD_032,Road Segment 32,13.07248955549254,80.20944965369102,60,4,local
RD_033,Road Segment 33,13.084561311032193,80.31054609403756,40,6,highway
RD_034,Road Segment 34,12.909898526869334,80.3187380393851,50,4,arterial
RD_035,Road Segment 35,12.944481739374497,80.37761735388636,50,6,arterial
RD_036,Road Segment 36,13.144998172066433,80.33279997346386,50,2,arterial
RD_037,Road Segment 37,12.990407675457815,80.11985658156345,60,2,highway
RD_038,Road Segment 38,13.024730940822296,80.36540494616601,80,2,arterial
RD_039,Road Segment 39,12.898870611833926,80.32349669462748,60,6,highway
RD_040,Road Segment 40,12.999951839553102,80.27505987748368,60,2,local
RD_041,Road Segment 41,13.028334202786763,80.12727282365213,40,2,local
RD_042,Road Segment 42,13.06960611459608,80.33762380930888,80,6,local
RD_043,Road Segment 43,12.984668559086074,80.27876652850833,80,6,arterial
RD_044,Road Segment 44,13.189877432164765,80.35823391067035,40,6,highway
RD_045,Road Segment 45,12.89009311004429,80.36543653503873,60,6,arterial
RD_046,Road Segment 46,12.889043260758557,80.23042957520073,80,2,highway
RD_047,Road Segment 47,13.156548529132367,80.17901671522532,50,6,local
RD_048,Road Segment 48,13.154681499442868,80.18953343743459,50,2,arterial
RD_049,Road Segment 49,13.116878780026303,80.26181370903588,40,6,arterial
RD_050,Road Segment 50,13.021011997810131,80.13356031759626,60,4,local
RD_051,Road Segment 51,12.870273808272966,80.36340287976121,40,2,highway
RD_052,Road Segment 52,13.020096662160814,80.12076375554051,50,2,highway
RD_053,Road Segment 53,13.016348832334556,80.26494107804848,60,6,highway
RD_054,Road Segment 54,12.99809827907031,80.16353946163262,50,6,arterial
RD_055,Road Segment 55,12.9896473049991,80.30150608789148,60,4,highway
RD_056,Road Segment 56,13.008020149486896,80.1743716840998,40,4,local
RD_057,Road Segment 57,13.055908051460031,80.16903441977897,50,2,local
RD_058,Road Segment 58,13.097744331291958,80.1176621300629,40,2,arterial
RD_059,Road Segment 59,12.874800072461028,80.17140139031069,80,2,highway
RD_060,Road Segment 60,12.896309147053758,80.3806542721742,80,2,arterial
RD_061,Road Segment 61,13.132623949218324,80.15712297430856,40,6,arterial
RD_062,Road Segment 62,12.974004148306344,80.22333068281492,40,6,highway
RD_063,Road Segment 63,13.194457823978087,80.12952536134559,80,6,arterial
RD_064,Road Segment 64,13.130207378801595,80.13278070967344,50,2,highway
RD_065,Road Segment 65,13.007014741741596,80.22656449195031,60,4,local
RD_066,Road Segment 66,13.156070083924703,80.12261546651229,40,2,highway
RD_067,Road Segment 67,13.199748863944453,80.35080827552397,40,2,local
RD_068,Road Segment 68,12.992244920283365,80.24440752539131,80,2,local
RD_069,Road Segment 69,12.98264059164192,80.39559265313392,60,4,arterial
RD_070,Road Segment 70,12.998052620096557,80.3871952922579,80,2,local
RD_071,Road Segment 71,12.953847738923097,80.39061280949075,40,6,arterial
RD_072,Road Segment 72,12.870007845517618,80.27525327833769,50,2,highway
RD_073,Road Segment 73,12.878039012834206,80.15574748829421,40,6,local
RD_074,Road Segment 74,12.991321442961397,80.38247883816872,50,6,highway
RD_075,Road Segment 75,12.863909581801172,80.12459502164846,60,4,local
RD_076,Road Segment 76,13.08440409116944,80.19425515883867,60,4,local
RD_077,Road Segment 77,13.085091578035989,80.18999912393963,60,2,local
RD_078,Road Segment 78,13.010399932916505,80.39953633225633,40,2,highway
RD_079,Road Segment 79,12.924604009293464,80.17956012442511,60,2,local
RD_080,Road Segment 80,12.97933448105861,80.14732404970717,60,6,highway
