timestamp,road_id,road_name,road_type,latitude,longitude,vehicle_count,average_speed_kmph,speed_limit_kmph,lanes,occupancy,congestion,congestion_level,weather,hour,day_of_week,is_peak_hour,is_weekend
2024-01-06 16:43:00,RD_068,Road Segment 68,local,12.991673,80.250681,71,35.1,80,2,0.422,0,moderate,fog,16,5,0,1
2024-06-02 09:01:00,RD_037,Road Segment 37,highway,12.988653,80.124664,79,34.4,60,2,0.479,0,moderate,clear,9,6,1,1
2024-11-04 10:31:00,RD_012,Sardar Patel Road,arterial,13.008409,80.223353,317,14.4,60,4,0.982,1,heavy,drizzle,10,0,1,0
2024-02-24 18:58:00,RD_015,Arcot Road,local,13.050655,80.206992,185,27.3,50,4,0.601,0,moderate,clear,18,5,1,1
2024-08-12 11:12:00,RD_006,Rajiv Gandhi Salai (IT Corridor),arterial,12.957153,80.243539,149,39.1,60,4,0.368,0,free,clear,11,0,0,0
2024-10-22 21:57:00,RD_072,Road Segment 72,highway,12.863166,80.278065,132,17.0,50,2,0.956,1,moderate,clear,21,1,0,0
2024-10-27 05:22:00,RD_023,Road Segment 23,highway,12.86472,80.123981,0,36.4,50,6,-0.009,0,free,fog,5,6,0,1
2024-10-05 13:24:00,RD_014,Nungambakkam High Road,local,13.063443,80.240184,185,31.2,50,4,0.61,0,free,clear,13,5,0,1
2024-06-11 07:52:00,RD_030,Road Segment 30,local,13.095818,80.117973,143,32.9,50,4,0.363,0,free,drizzle,7,1,1,0
2024-08-29 03:15:00,RD_069,Road Segment 69,arterial,12.982293,80.395453,185,33.5,60,4,0.552,0,moderate,drizzle,3,3,0,0
2024-09-08 17:19:00,RD_056,Road Segment 56,local,13.005981,80.173307,157,22.2,40,4,0.519,0,moderate,clear,17,6,1,1
2024-05-23 11:26:00,RD_069,Road Segment 69,arterial,12.984527,80.393316,124,46.4,60,4,0.481,0,free,clear,11,3,0,0
2024-08-13 05:08:00,RD_039,Road Segment 39,highway,12.900456,80.32764,296,35.6,60,6,0.573,0,moderate,clear,5,1,0,0
2024-08-07 03:28:00,RD_023,Road Segment 23,highway,12.863068,80.126035,11,37.0,50,6,-0.027,0,free,rain,3,2,0,0
2024-11-17 23:18:00,RD_057,Road Segment 57,local,13.054975,80.173365,15,36.6,50,2,-0.016,0,free,rain,23,6,0,1
2024-08-14 00:58:00,RD_031,Road Segment 31,arterial,13.149705,80.360629,0,82.2,80,4,-0.016,0,free,clear,0,2,0,0
2024-05-21 14:00:00,RD_054,Road Segment 54,arterial,12.995677,80.157682,316,26.7,50,6,0.741,0,moderate,clear,14,1,0,0
2024-06-08 08:31:00,RD_055,Road Segment 55,highway,12.989539,80.303425,0,59.0,60,4,-0.045,0,free,clear,8,5,1,1
2024-08-19 01:11:00,RD_060,Road Segment 60,arterial,12.898142,80.377348,48,54.0,80,2,0.448,0,free,clear,1,0,0,0
2024-11-23 17:32:00,RD_061,Road Segment 61,arterial,13.128734,80.155442,65,31.9,40,6,0.129,0,free,clear,17,5,1,1
2024-07-27 01:27:00,RD_010,Outer Ring Road,ring,13.001194,80.151705,5,80.8,80,6,-0.039,0,free,clear,1,5,0,1
2024-10-29 18:10:00,RD_060,Road Segment 60,arterial,12.8996,80.386794,116,30.0,80,2,0.712,1,moderate,drizzle,18,1,1,0
2024-10-03 23:38:00,RD_074,Road Segment 74,highway,12.993235,80.379278,0,34.3,50,6,-0.009,0,free,fog,23,3,0,0
2024-12-21 12:25:00,RD_029,Road Segment 29,local,13.043707,80.347335,24,44.0,60,6,0.105,0,free,rain,12,5,0,1
2024-04-02 22:27:00,RD_060,Road Segment 60,arterial,12.895656,80.379581,120,25.5,80,2,0.794,1,moderate,clear,22,1,0,0
2024-02-06 14:47:00,RD_024,Road Segment 24,arterial,12.862209,80.161414,58,60.0,80,2,0.28,0,free,clear,14,1,0,0
2024-07-02 16:45:00,RD_054,Road Segment 54,arterial,13.000139,80.162903,352,22.1,50,6,0.882,0,moderate,clear,16,1,0,0
2024-01-23 14:17:00,RD_006,Rajiv Gandhi Salai (IT Corridor),arterial,12.960578,80.243132,285,21.5,60,4,0.913,1,moderate,clear,14,1,0,0
2024-06-07 17:12:00,RD_073,Road Segment 73,local,12.877011,80.150647,398,15.4,40,6,0.871,1,moderate,drizzle,17,4,1,0
2024-01-19 16:45:00,RD_075,Road Segment 75,local,12.860905,80.126456,277,16.2,60,4,0.831,1,heavy,clear,16,4,0,0
2024-06-25 20:06:00,RD_076,Road Segment 76,local,13.089618,80.193724,236,24.6,60,4,0.683,0,moderate,clear,20,1,1,0
2024-02-20 05:06:00,RD_048,Road Segment 48,arterial,13.159587,80.195551,89,18.1,50,2,0.583,1,moderate,fog,5,1,0,0
2024-04-21 09:42:00,RD_059,Road Segment 59,highway,12.87145,80.170582,40,43.8,80,2,0.127,0,moderate,fog,9,6,1,1
2024-08-22 16:40:00,RD_035,Road Segment 35,arterial,12.943365,80.377747,381,13.9,50,6,0.837,1,heavy,fog,16,3,0,0
2024-10-02 23:19:00,RD_079,Road Segment 79,local,12.924477,80.181987,0,63.1,60,2,-0.085,0,free,clear,23,2,0,0
2024-01-08 09:24:00,RD_072,Road Segment 72,highway,12.873067,80.275461,127,17.5,50,2,0.927,1,moderate,clear,9,0,1,0
2024-11-22 08:25:00,RD_063,Road Segment 63,arterial,13.191497,80.12786,480,24.5,80,6,0.948,1,moderate,clear,8,4,1,0
2024-08-28 20:59:00,RD_071,Road Segment 71,arterial,12.955884,80.388634,390,11.0,40,6,0.893,1,heavy,rain,20,2,1,0
2024-05-19 11:25:00,RD_024,Road Segment 24,arterial,12.859003,80.161003,7,67.3,80,2,0.089,0,free,clear,11,6,0,1
2024-08-08 02:30:00,RD_023,Road Segment 23,highway,12.869147,80.127603,6,48.8,50,6,-0.025,0,free,clear,2,3,0,0
2024-03-15 16:50:00,RD_063,Road Segment 63,arterial,13.194848,80.130418,373,30.6,80,6,0.851,1,moderate,clear,16,4,0,0
2024-10-18 18:52:00,RD_009,Inner Ring Road,ring,13.018414,80.211202,459,10.3,60,6,0.96,1,heavy,fog,18,4,1,0
2024-03-27 06:05:00,RD_032,Road Segment 32,local,13.072961,80.206553,163,28.1,60,4,0.582,0,moderate,rain,6,2,0,0
